id;nombre;domicilio;telefono;email;web;tipo;calle;altura;direccion;Long;Lat
369;Recoleta Grand Hotel;Av. Las Heras 1745;(54 11) 4129-9800 int 5062;ivalerio@recoletagrand.com;;;Av. Las Heras;1745;Av. Las Heras 1745;;
370;Bulnes Eco Suites;Bulnes 1905;(54 11) 4829-3300;info@bulneseco.com;;;Bulnes;1905;Bulnes 1905;;
371;Hotel Nuevo Camino;Mitre, Bartolome 1907;(54 11) 4952-6266;;;;Mitre, Bartolome;1907;Mitre, Bartolome 1907;;
372;HTL 9 De Julio;Alsina 1112;(54 11) 7078-0731;reservas.9dejulio@htlhoteles.com;;;Alsina;1112;Alsina 1112;;
373;Residencia Universitaria Buen Día;Lavalle 2115;(54 11) 4373-1663;;;;Lavalle;2115;Lavalle 2115;;
374;Callao Suites Apart Hotel Recoleta;Callao Av. 1062;(54 11) 4812-3102;info@callaosuites.com.ar;www.callaosuites.com.ar;;Callao Av.;1062;Callao Av. 1062;;
375;Be Jardin Escondido by Coppola;Gorriti 4746;(54 11) 48328830 / 4834-6166;;;;Gorriti;4746;Gorriti 4746;;
376;Hotel Design Suites Buenos Aires;Tacuarí 243;(54 11) 3724-0700 / 4896-6340;reservas.bsas@gruposolanas.com;www.designsuites.com;;Tacuarí;243;Tacuarí 243;;
377;Hotel La Paz;Estado Plurinacional de Boliva 561;(54 11) 4613-9032;;;;Estado Plurinacional de Boliva;561;Estado Plurinacional de Boliva 561;;
378;Draper Startup House;Chile 680;(54 11 ) 6434-4839;argentina@draperstartuphouse.com;https://draperstartuphouse.com/buenos-aires-argentina;;Chile;680;Chile 680;;
379;Ian Hotel;Vega, Niceto, Cnel. Av. 5832;(54 11) 2188-7000;ventas@hjpalermo.com.ar;;;Vega, Niceto, Cnel. Av.;5832;Vega, Niceto, Cnel. Av. 5832;;
380;BA Stop Hostel;Rivadavia Av. 1194;(54 11) 6091-2156;info@bastop.com;www.bastop.com ;;Rivadavia Av.;1194;Rivadavia Av. 1194;;
381;Puerto Limón Hostel;Chacabuco 1080;(54 9 11) 3645-9086;info@puertolimon.com;www.puertolimonhostel.com;;Chacabuco;1080;Chacabuco 1080;;
382;Lemon Suites Apartments;Chacabuco 1072;(54 11) 4307-5651;info@lemonsuites.com.ar;http://www.lemonsuites.com.ar/;;Chacabuco;1072;Chacabuco 1072;;
383;Juramento de Lealtad Townhouse Hotel;Juramento 2666;(54 11) 4782-0158/1946;info@townhousehotel.com.ar;http://www.townhousehotel.com.ar/;;Juramento;2666;Juramento 2666;;
384;Magnolia Hotel;Alvarez, Julian 1746;(54 9 11) 4867-4900;info@magnoliahotelboutique.com;www.magnoliahotelboutique.com;;Alvarez, Julian;1746;Alvarez, Julian 1746;;
385;Córdoba Suites;Cordoba Av. 1827;(54 11) 4811-8125;cordobasuites@gmail.com;www.cordobasuites.com;;Cordoba Av.;1827;Cordoba Av. 1827;;
386;Htl City Bs. As.;Piedras 303;(54 11) 5277-6050 / 52175799;reservas.citybaires@htlhoteles.com;www.htlhoteles.com;;Piedras;303;Piedras 303;;
387;Htl Urbano;Tucuman 451;(54 11) 7078-0852;reservas.urbano@htlhoteles.com;www.htlhoteles.com;;Tucuman;451;Tucuman 451;;
388;Hotel Parada;Rivadavia Av. 1291;(54 11) 4381-6399;info@hostelparada.com;www.hostelparada.com;;Rivadavia Av.;1291;Rivadavia Av. 1291;;
389;Hotel El Plata;Calvo, Carlos 1274;(54 9 11) 67933468;tatin.lemeja@gmail.com;;;Calvo, Carlos;1274;Calvo, Carlos 1274;;
